,Provider ID,Service Name,Base Name / Site,State,City,Zip,Location Type,# RW,# FW,NPIAS,Level 1
RW,CA011,Mercy Air Service,Air 29 - US Marine Corp,CA,Twentynine Palms,92278,Helipad,1,,,
RW,CA011,Mercy Air Service,Air 02 - Southern California Int’l. Airport,CA,Victorville,92394,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 07 – Las Vegas Helipad,NV,Las Vegas,89124,Helipad,1,,,
RW,CA011,Mercy Air Service,Air 11 - Mesquite Municipal Airport,NV,Mesquite,89005,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 21 - Pahrump Medical Center,NV,Pahrump,89048,Hospital,1,,,
RW,CA011,Mercy Air Service,Air 24 - Desert View Hospital,NV,Pahrump,89048,Hospital,1,,,
RW,NY001,Mercy Flight (Buffalo),Genesee County Airport,NY,Batavia,14020,Helipad,1,,,
RW,NY001,Mercy Flight (Buffalo),Buffalo Niagara International Airport,NY,Cheektowaga,14225,Airport,1,2,Y,
RW,NY001,Mercy Flight (Buffalo),Olean General Hospital,NY,Olean,14760,Hospital,1,,,
RW,NY001,Mercy Flight (Buffalo),Bertrand Chaffee Hospital,NY,Springville,14141,Hospital,1,,,
RW,NY003,"Mercy Flight Central, Inc.",Canandaigua Airport,NY,Canandaigua,14424,Airport,2*,,Y,
RW,NY003,"Mercy Flight Central, Inc.",Marcellus Airport,NY,Marcellus,13108,Airport,1,,N,
RW,NY003,"Mercy Flight Central, Inc.",Griffiss Airport,NY,Rome,13441,Airport,1,,Y,
RW,OR003,"Mercy Flights, Inc. (Oregon)",Rogue Valley International - Medford Airport,OR,Medford,97504,Airport,1,3,Y,
RW,MO007,Mercy Life Line,Mercy Hospital–NW AR (LL5),AR,Rogers,72758,Hospital,1,,,
RW,MO007,Mercy Life Line,Mercy EMS Stone County (LL1),MO,Branson West,65737,Helipad,1,,,
RW,MO007,Mercy Life Line,Mercy Hospital Joplin (LL4),MO,Joplin,64804,Hospital,1,,,
RW,MO007,Mercy Life Line,Point Lookout Airport,MO,Point Lookout,65726,Non- Base,1+,,,
RW,MO007,Mercy Life Line,Mercy Medical Clinic (LL2),MO,St. Robert,65584,Hospital,1,,,
RW,IA006,Mercy One (Des Moines),Mercy Medical Center,IA,Des Moines,50314,Hospital,1,,,
RW,IA006,Mercy One (Des Moines),Mercy One Knoxville municipal,IA,Knoxville,50138,Airport,1,,,
RW,OH002,Metro Life Flight,Lorain Base-Lorain County Regional Airport,OH,Elyria,44035,Airport,1,,Y,
RW,OH002,Metro Life Flight,Portage Base-Portage County Regional Airport,OH,Ravenna,44266,Airport,1,,Y,
RW,OH002,Metro Life Flight,Wayne Base-Wayne County Regional Airport,OH,Smithville,44677,Airport,1,,Y,
RW,FL013,Miami-Dade FD Air Rescue,Kendall - Tamiami Airport Base,FL,Miami,33186,Airport,2,,Y,
RW,FL013,Miami-Dade FD Air Rescue,OpaLocka Airport,FL,Miami,33054,Airport,2,,Y,
RW,PA011,MidAtlantic MedEvac,Main Office,NJ,Egg Harbor,8234,Office,,,,
RW,PA011,MidAtlantic MedEvac,Millville Municipal Airport,NJ,Millville,8332,Airport,1,,N,
RW,PA011,MidAtlantic MedEvac,Woodbine Municipal Airport,NJ,Woodbine,8270,Airport,1,,Y,
RW,PA011,MidAtlantic MedEvac,,PA,,,,,,,
RW,KS005,Midwest AeroCare,Midwest AeroCare III Chanute Municipal Airport,KS,Chanute,66720,Airport,1,,Y,
RW,KS005,Midwest AeroCare,Midwest AeroCare II Pittsburg Atkinson Airport,KS,Pittsburg,66762,Airport,1,,Y,
RW,KS005,Midwest AeroCare,,KS,,,Non- Base,1#,,,
RW,NE005,Midwest MedAir,Audubon Municipal Airport (Med Air 1),IA,Audubon,50025,Airport,1,,Y,
RW,NE005,Midwest MedAir,Columbus Municipal Airport,NE,Columbus,68601,Airport,1,,Y,
RW,NE005,Midwest MedAir,Hastings Municipal Airport,NE,Hastings,68901,Airport,1,,Y,
RW,NC006,"Mission Health System
– MAMA (Mountain Area Medical Airlift)",Mission Hospital,NC,Asheville,28801,Hospital,1,,,
RW,NC006,"Mission Health System
– MAMA (Mountain Area Medical Airlift)",Angel Medical Center,NC,Franklin,28744,Hospital,1,,,
RW,MS004,Mississippi Air Rescue,Rescue 5 Million Air Gulfport-Biloxi,MS,Gulfport,39503,Airport,1,,Y,
RW,MS004,Mississippi Air Rescue,Rescue 7 Hattiesburg Municipal Airport,MS,Hattiesburg,39401,Airport,1,,N,
RW,MS004,Mississippi Air Rescue,Rescue 8 Magee General Hospital,MS,Magee,39111,Hospital,1,,,
RW,MS004,Mississippi Air Rescue,Rescue 9 Southwest Mississippi Regional Medical,MS,McComb,39648,Hospital,1,,,
RW,NJ003,MONOC-ONE,Ocean County Airport,NJ,Toms River,8731,Airport,1,,Y,
RW,FL032,Monroe County Sheriff Trauma Star,Lower Keys Medical Center,FL,Key West,33050,Hospital,1,,,
RW,FL032,Monroe County Sheriff Trauma Star,Florida Keys Marathon Airport,FL,Marathon,33050,Airport,2,1,Y,
RW,UT005,MountainStar AirCare,Ogden Regional Medical Center,UT,Ogden,84405,Helipad,1,,,
RW,NY011,Nassau County Police,Nassau County Police Heliport,NY,Bethpage,11714,Helipad,3,,,
RW,OH010,Nationwide Children's Transport Team,Ohio State University Airport,OH,Columbus,43017,Airport,1,,Y,
RW,AZ007,Native Air Ambulance,Native Air 17 Kearney Arizona,AZ,Kearney,85237,Helipad,1,,,
RW,AZ007,Native Air Ambulance,Native Air 08 Lake Havasu City,AZ,Lake Havasu City,86403,Helipad,1,,,
RW,AZ007,Native Air Ambulance,Native Air 01 Gilbert Emergency Hospital,AZ,Mesa,85236,Hospital,1,,,
RW,AZ007,Native Air Ambulance,Native Air 06 Parker,AZ,Parker,85344,Helipad,2,,,
RW,AZ007,Native Air Ambulance,Native Air 07 Payson,AZ,Payson,85541,Helipad,1,,,
RW,AZ007,Native Air Ambulance,Native Air 04 Yavapai Medical Center West,AZ,Prescott,86301,Hospital,1,,,
RW,AZ007,Native Air Ambulance,Native Air 14 Yavapai Medical Center East,AZ,Prescott Valley,86314,Helipad,1,,,
RW,AZ007,Native Air Ambulance,Native Air 09 Summit Regional Medical Center,AZ,Show Low,85901,Hospital,1,,,
RW,AZ007,Native Air Ambulance,Native Air 20 Banner Del Webb Medical Center,AZ,Sun City West,85375,Hospital,1,,,
RW,AZ007,Native Air Ambulance,Native Air35-Gerald Champion Med.,NM,Alamogordo,88310,Hospital,1,,,
RW,AZ007,Native Air Ambulance,LifeGuard04 Cavern City Air Terminal,NM,Carlsbad,88220,Airport,1,1,Y,
RW,AZ007,Native Air Ambulance,Native Air30 Deming Municipal Airport,NM,Deming,88030,Airport,1,,Y,
RW,AZ007,Native Air Ambulance,Native Air37- Hobbs,NM,Hobbs,88240,Helipad,1,,,
RW,AZ007,Native Air Ambulance,Native Air31 Las Cruces Intl Airport,NM,Las Cruces,88004,Airport,1,,Y,
RW,AZ007,Native Air Ambulance,Native Air34-Roswell Intl Air Center,NM,Roswell,88203,Airport,1,,N,
RW,AZ007,Native Air Ambulance,LifeGuard10 Roswell Intl Air Center,NM,Roswell,88203,Airport,,1,Y,
RW,AZ007,Native Air Ambulance,Native Air32-Whiskey Creek Airport,NM,Silver City,88062,Airport,1,,N,
RW,AZ007,Native Air Ambulance,Native Air/LifeGuard08 - El Paso Intl Airport,TX,El Paso,79925,Airport,,1,Y,
RW,AZ007,Native Air Ambulance,Native Air39-Cogdell Mem. Hospital,TX,Snyder,79549,Helipad,1,,,
RW,VA004,Nightingale Regional Air Ambulance,Sentara Norfolk Hospital Helipad,VA,Norfolk,23507,Hospital,1,,,Y
RW,NY004,"North Country Life Flight, Inc.",Adirondack Regional Airport,NY,Saranac Lake,12983,Airport,2*,,Y,
RW,MI003,North Flight Aero Med,Cherry Capital Airport,MI,Traverse City,49686,Airport,1,1,Y,
RW,MN004,North Memorial Air Care,Bemidji Regional Airport,MN,Bemidji,56601,Airport,2*,,Y,
RW,MN004,North Memorial Air Care,Brainerd Regional Airport,MN,Brainerd,56401,Airport,0#,,N,
RW,MN004,North Memorial Air Care,Eveleth-Virginia Airport,MN,Eveleth,55734,Airport,1,,Y,
RW,MN004,North Memorial Air Care,Faribault Airport,MN,Faribault,55021,Airport,1,,Y,
RW,MN004,North Memorial Air Care,Princeton Municipal Airport,MN,Princeton,55371,Airport,1,,Y,
RW,MN004,North Memorial Air Care,Redwood Falls Airport,MN,Redwood Falls,56283,Airport,1,,Y,
RW,MN004,North Memorial Air Care,Siren Airport,WI,Siren,54872,Airport,1,,Y,
RW,AK002,North Slope Borough Search and Rescue,Wiley Post-Will Rogers Memorial Airport,AK,Barrow,99723,Airport,3,2,Y,
RW,NJ001,North Star (Newark),Somerset Air Service,NJ,Bedminster,7921,Airport,4*,,Y,
RW,NJ001,North Star (Newark),Hammonton Airport - SouthSTAR,NJ,Newark,7101,Airport,1@,,Y,
RW,ND002,North Star Criticair,Minot International Airport,ND,Minot,58703,Airport,1,2,Y,
RW,ND002,North Star Criticair,Sloulin Field International Airport,ND,Williston,58801,Airport,,1,Y,
FW,MT006,"Northeast Montana
STAT Air Ambulance Cooperative",Wokal Field/Glasgow International Airport,MT,Glasgow,59230,Airport,,3,Y,
FW,AK006,Norton Sound Critical Care Air Ambulance,Nome Airport,AK,Nome,99762,Airport,,6,Y,
RW,NC010,Novant Health Med Flight,Novant Health Rowan Medical Center,NC,Salisbury,28144,Hospital,1,,,
RW,TX011,"NWTX LIFESTAR
(Amarillo)",Northwest Texas Healthcare System,TX,Amarillo,79106,Hospital,1,,,
RW,TX011,"NWTX LIFESTAR
(Amarillo)",Gray County Heliport,TX,Pampa,79065,Helipad,1,,,
RW,LA004,Ochsner Flight Care,Rescue 1 Ochsner Medical Center,LA,New Orleans,70121,Hospital,1,1,,
RW,SD008,Oglala Lakota Air Rescue,Pine Ridge Reservation,SD,Pine Ridge,57770,Helipad,1,,,
RW,IL007,OSF Aviation,St. Joseph Medical Center,IL,Bloomington,61701,Hospital,1,,,
RW,IL007,OSF Aviation,Peoria International Airport,IL,Peoria,61650,Airport,1,,Y,
RW,IL007,OSF Aviation,Illinois Valley Regional Airport,IL,Peru,61354,Airport,1,,Y,
RW,IL007,OSF Aviation,Chicago Rockford Intl’ Airport,IL,Rockford,61109,Airport,1,,Y,
RW,LA005,Pafford Air One,Grider Field Airport,AR,Pine Bluff,71601,Airport,1,,Y,
RW,LA005,Pafford Air One/Air Wing,Ruston Regional Airport,LA,Ruston,71270,Airport,1,1,Y,
RW,LA005,Pafford Air One/Air Wing,Clarksdale Base,MS,Clarksdale,38614,Helipad,1,,,
RW,IN003,Parkview Samaritan,Parkview Hospital,IN,Fort Wayne,46805,Hospital,1,,,
RW,IN003,Parkview Samaritan,Rochester Airport / Fulton County Airport,IN,Rochester,46975,Airport,1,,Y,
RW,VA005,Pegasus,Charlottesville Albemarle Airport,VA,Charlottesville,22911,Airport,1,,Y,
RW,PA008,Penn STAR Flight,3 - South Jersey Regional Airport,NJ,Lumberton,8048,Airport,1,,Y,
RW,PA008,Penn STAR Flight,1 -Wings Field (Montgomery County),PA,Blue Bell,19422,Airport,2*,,Y,
RW,PA008,Penn STAR Flight,2 - HeritageField Airport,PA,Pottstown,19464,Airport,1,,Y,
RW,MO013,Phelps Air,Phelps County Regional Medical Center,MO,Rollo,65401,Hospital,1,,,
RW,CA001,PHI Air Medical (California),Columbia Airport,CA,Columbia,95310,Airport,1,,Y,
RW,CA001,PHI Air Medical (California),Modesto Airport,CA,Modesto,95354,Airport,1,,Y,
RW,CA001,PHI Air Medical (California),"Redding Jet Center, Redding Airport",CA,Redding,96002,Airport,1,2,Y,
RW,CA001,PHI Air Medical (California),Susanville Municipal Airport,CA,Susanville,96130,Airport,1,,Y,
RW,KY006,PHI Air Medical (Kentucky),Inverness Airport,FL,Inverness,34450,Airport,1,,Y,
RW,KY006,PHI Air Medical (Kentucky),Greenville-Muhlenberg County Airport,KY,Greenville,42345,Airport,1,,Y,
RW,KY006,PHI Air Medical (Kentucky),London-Corbin Airport,KY,London,40744,Airport,2,,Y,
RW,KY006,PHI Air Medical (Kentucky),Wayne County Airport,KY,Monticello,42633,Airport,1,,Y,
RW,NM001,PHI Air Medical (New Mexico),PHI MED53: Grants/Milan Airport,NM,Milan,87021,Airport,1,,Y,
RW,NM001,PHI Air Medical (New Mexico),PHI MED51: Presbyterian Rust Medical Center,NM,Rio Rancho,87124,Hospital,1,,,
RW,NM001,PHI Air Medical (New Mexico),PHI MED54: Socorro Airport,NM,Socorro,87801,Airport,1,,Y,
RW,TX007,PHI Air Medical (Texas),Med 08 - Med Center of Arlington,TX,Arlington,76015,Hospital,1,,,
RW,TX007,PHI Air Medical (Texas),Med 12 - Coulter Field,TX,Bryan,77808,Airport,1,,Y,
RW,TX007,PHI Air Medical (Texas),Med 14 - Cedar Creek,TX,Cedar Creek,78912,Helipad,1,,,
RW,TX007,PHI Air Medical (Texas),Med 07 - Columbus,TX,Columbus,78934,Airport,1,,N,
RW,TX007,PHI Air Medical (Texas),Med 01 - Lone Star Executive Airport,TX,Conroe,77303,Airport,1,,Y,
RW,TX007,PHI Air Medical (Texas),Med 06 - Corsicana Municipal Airport,TX,Corsicana,75109,Airport,1,,Y,
RW,TX007,PHI Air Medical (Texas),Med 10 - Denton,TX,Denton,76210,Hospital,1,,,
RW,TX007,PHI Air Medical (Texas),Med 05 - Ellington Field,TX,Houston,77059,Airport,1,,Y,
RW,TX007,PHI Air Medical (Texas),Med 11 - Lufkin Memorial Hospital,TX,Lufkin,75904,Hospital,1,,,
RW,TX007,PHI Air Medical (Texas),Med 02 - Collin Cnty Regional Airport,TX,McKinney,75069,Airport,1*,,N,
RW,TX007,PHI Air Medical (Texas),Medical City Healthcare - Med City 1,TX,McKinney,75069,Airport,1,,N,
RW,TX007,PHI Air Medical (Texas),Med 09 - Oak Bend Med Center,TX,Richmond,77469,Hospital,1,,,
RW,TX007,PHI Air Medical (Texas),The Children's Hospital of San Antonio (CHOSA),TX,San Antonio,78207,Hospital,1,,,
RW,TX007,PHI Air Medical (Texas),Med 15 - Baylor Scott & White,TX,Temple,76502,Hospital,1,,,Y
RW,TX007,PHI Air Medical (Texas),Med 03 - Citizens Medical Center,TX,Victoria,77901,Hospital,1*,,,
RW,VA002,"PHI Air Medical
(AirCare/Univ of MD ExpressCare)",PHI ExpressCare - Martin State Airport,MD,Baltimore,21220,Airport,1,,N,
RW,VA002,"PHI Air Medical
(AirCare/Univ of MD ExpressCare)",PHI AirCare 2 - Shannon Airport,VA,Fredericksburg,22408,Airport,1,,N,
RW,VA002,"PHI Air Medical
(AirCare/Univ of MD ExpressCare)",HI AirCare 4 - Front Royal- Warren County Airport,VA,Front Royal,22602,Airport,1,,Y,
RW,VA002,"PHI Air Medical
(AirCare/Univ of MD ExpressCare)",PHI AirCare 3 - Leesburg Executive Airport,VA,Leesburg,20175,Airport,1,,Y,
RW,VA002,"PHI Air Medical
(AirCare/Univ of MD ExpressCare)",PHI AirCare 1 - Manassas Regional Airport,VA,Manassas,20110,Airport,1,,Y,
RW,VA002,"PHI Air Medical
(AirCare/Univ of MD ExpressCare)",PHI AirCare 5 - Shenandoah Valley Regional Airport,VA,Weyers Cave,24486,Airport,1,,Y,
FW,GA009,Phoenix Air Ambulance,Cartersville-Bartow County Airport,GA,Cartersville,30120,Airport,,9,Y,
FW,OR004,Premier Jets / Lifeguard Air Ambulance,Honolulu International Airport,HI,Honolulu,96819,Airport,,3,N,
FW,OR004,Premier Jets / Lifeguard Air Ambulance,Portland-Hillsboro Airport,OR,Hillsboro,97124,Airport,,2,Y,
RW,OH005,ProMedica Transportation  Network,Sandusky County Regional Airport,OH,Clyde,43410,Airport,1,,Y,
RW,OH005,ProMedica Transportation  Network,Toledo Express Airport,OH,Swanton,43558,Airport,2*,,Y,
RW,CA013,REACH Air Medical Services,REACH 21 - Viejas Reservation,CA,Alpine,91901,Helipad,1,,,
RW,CA013,REACH Air Medical Services,REACH 11 - Brawley Municipal Airport,CA,Brawley,92227,Airport,2,1,Y,
RW,CA013,REACH Air Medical Services,REACH 22 - UCLA 1,CA,Burbank,91505,Helipad,1,,,
RW,CA013,REACH Air Medical Services,REACH 09 - Imperial County Airport,CA,Imperial,92251,Airport,1,,N,
RW,CA013,REACH Air Medical Services,REACH 06 - Lampson Field,CA,Lakeport,95453,Airport,1#,,Y,
RW,CA013,REACH Air Medical Services,REACH 17 / 50 - Mather Field,CA,Mather,95655,Airport,1,1,Y,
RW,CA013,REACH Air Medical Services,REACH 03 - Napa County Airport,CA,Napa,94558,Airport,1#,,Y,
RW,CA013,REACH Air Medical Services,REACH 16 - Oceanside Airport,CA,Oceanside,92054,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 07 - Yuba County Airport,CA,Olivehurst,95961,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 05 - Shasta Regional Medical Center,CA,Redding,96001,Hospital,1,,,
RW,CA013,REACH Air Medical Services,REACH 01 - Sonoma County Airport,CA,Santa Rosa,95403,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 02 - Stockton Airport,CA,Stockton,95206,Airport,1#,,Y,
RW,CA013,REACH Air Medical Services,REACH 13 - Victorville SoCal Logistics Airport,CA,Victorville,92394,Airport,1,,N,
RW,CA013,REACH Air Medical Services,REACH 18 - Willits Municipal Airport,CA,Willits,95490,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 29 - Central Colorado Regional Airport,CO,Buena Vista,81221,Airport,3,,Y,
RW,CA013,REACH Air Medical Services,REACH 45 - Memorial Star Co Springs CO,CO,Colorado Springs,80909,Helipad,1,,,
RW,CA013,REACH Air Medical Services,REACH 26 - La Junta Airport,CO,La Junta,81050,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 30 - UC Health - Medical Center of the Rockies,CO,Loveland,80538,Hospital,1,,,
RW,CA013,REACH Air Medical Services,REACH 46/AMR - Kona Int'l Airport at Keahole,HI,Kailua-Kona,96740,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 48/AMR - Kahului Airport,HI,Maui,96779,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 24 - Bozeman Int'l Airport,MT,Belgrade,59714,Airport,2,,Y,
RW,CA013,REACH Air Medical Services,REACH 23 - Elko Regional Airport,NV,Elko,89801,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 56 - Reno/Tahoe Airport,NV,Reno,89502,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 8 - Corvallis Municipal Airport,OR,Corvallis,97333,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 20 - Klamath Falls Regional Airport,OR,Klamath Falls,97603,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 19 - SW Oregon Regional Airport,OR,North Bend,97459,Airport,1,,Y,
RW,CA013,REACH Air Medical Services,REACH 14 – dba AirCare 3,TX,Houston,77054,Hospital,1,,,
RW,CA013,REACH Air Medical Services,REACH 12 – dba AirCare1,TX,San Antonio,78258,Hospital,1,,,
RW,CA013,REACH Air Medical Services,REACH 28 - Yellowstone Regional Airport,WY,Cody,82414,Airport,1*,,Y,
RW,IL009,REACT (Rockford),Rockford Memorial Hospital,IL,Rockford,61103,Hospital,1,,,Y
RW,AL007,Regional Air Medical Services (RAMS),RAMS Base,AL,Jasper,35501,Helipad,1,,,
RW,SC005,Regional One,Spartanburg Regional Emergency Center Helipad,SC,Spartanburg,29303,Hospital,1,,,Y
FW,FL029,REVA Air Ambulance,Phoenix Sky Harbor International Airport,AZ,Phoenix,85034,Airport,,1,N,
FW,FL029,REVA Air Ambulance,Ft. Lauderdale Executive Airport,FL,Ft. Lauderdale,33309,Airport,,12,N,
FW,FL029,REVA Air Ambulance,Schenectady County Airport,NY,Scotia,12302,Airport,,2,Y,
RW,TX024,Rico Aviation,Dan C Trigg Memorial Hospital,NM,Tucumcari,88410,Hospital,1,,,
RW,TX024,Rico Aviation,Rick Husband Amarillo Intl Airport,TX,Amarillo,79111,Airport,,2,N,
RW,TX024,Rico Aviation,Dalhart Municipal Airport,TX,Dalhart,79022,Airport,1,1,Y,
RW,IL011,Saints Flight,St. John’s Hospital,IL,Springfield,62769,Hospital,1,,,Y
RW,TX015,San Antonio AirLIFE,AirLIFE 3-Kerrville Base,TX,Kerrville,78028,Helipad,1,,,
RW,TX015,San Antonio AirLIFE,AirLIFE 6-Laredo Intl Airport,TX,Laredo,78041,Airport,1,,Y,
RW,TX015,San Antonio AirLIFE,AirLIFE 1-New Braunfels Airport,TX,New Braunfels,78130,Airport,1,1,Y,
RW,TX015,San Antonio AirLIFE,AirLIFE 2-University Hospital,TX,San Antonio,78229,Hospital,1,,,Y
RW,TX015,San Antonio AirLIFE,AirLIFE 4-Baptist Medical Center,TX,San Antonio,78205,Hospital,1,,,
RW,TX015,San Antonio AirLIFE,AirLIFE 5-Uvalde Garner Field,TX,Uvalde,78802,Airport,1,,Y,
RW,CA014,San Bernardino County Sheriff,San Bernardino International Airport,CA,San Bernardino,92408,Airport,3,,Y,
RW,CA033,San Diego Fire Rescue Department,Montgomery Field,CA,San Diego,92101,Airport,3,,N,
RW,NM002,San Juan Regional AirCare,Four Corners Regional Airport,NM,Farmington,87401,Airport,,1,Y,
RW,NM002,San Juan Regional AirCare,San Juan Regional Medical Center,NM,Farmington,87401,Hospital,1,,,
RW,SD003,Sanford AirMed,Bemidji Regional Airport,MN,Bemidji,56601,Airport,1,,N,
RW,SD003,Sanford AirMed,Bismarck Municipal Airport,ND,Bismarck,58504,Airport,1,,Y,
RW,SD003,Sanford AirMed,Theodore Roosevelt Regional Airport,ND,Dickinson,58601,Airport,,1,N,
RW,SD003,Sanford AirMed,Hector International Airport,ND,Fargo,58102,Airport,1,1,Y,
RW,SD003,Sanford AirMed,Joe Foss Field Airport,SD,Sioux Falls,57104,Airport,,2,N,
RW,SD003,Sanford AirMed,Sanford USD  Medical Center Helipad,SD,Sioux Falls,57117,Hospital,1,,,
RW,CA032,Santa Barbara County Fire Department,"Air Unit, Hangar 7 Santa Ynez County",CA,Santa Ynez,93460,Airport,1,,Y,
RW,FL014,ShandsCair,Gainesville Regional Airport,FL,Gainesville,32609,Airport,,2,Y,
RW,FL014,ShandsCair,ShandsCair Heliport,FL,Gainesville,32610,Hospital,1,,,Y
RW,FL014,ShandsCair,ShandsCair 5 - Peter Prince Field,FL,Milton,32583,Airport,1,,Y,
RW,FL014,ShandsCair,Doctors Memorial #2 Heliport,FL,Perry,32347,Hospital,1,,,
RW,FL014,ShandsCair,ShandsCair 6,FL,South Port,32409,Helipad,1,,,
RW,FL014,ShandsCair,MCFR Spruce Creek Station 30,FL,Summerfield,34491,Helipad,1,,,
RW,TX017,Shannon AirMed 1,Shannon Medical Center Helipad,TX,San Angelo,76903,Hospital,1,,,
FW,CA008,Sierra LifeFlight,Eastern Sierra Regional Airport,CA,Bishop,93514,Airport,,1,N,
RW,CA015,Sky Life Central California,Fresno Yosemite International Airport,CA,Fresno,93727,Airport,2,1,Y,
RW,CA015,Sky Life Central California,Visalia Municipal Airport,CA,Visalia,93230,Airport,1,,Y,
RW,NY013,SkyHealth,MacArthur Airport,NY,Ronkonkoma,11779,Airport,1,,N,
RW,CA031,Sonoma County Sheriff,Sonoma County Airport,CA,Santa Rosa,95403,Airport,1,,N,
RW,MS003,Southeast Mississippi Air Ambulance District (Rescue 7),Bobby Chain Airport,MS,Hattiesburg,39401,Airport,1,,Y,
RW,MO012,St. Louis Children's Hospital KidsFlight,St. Louis Downtown Airport,IL,Cahokia,62206,Airport,1,1,Y,
RW,MO012,St. Louis Children's Hospital KidsFlight,Parkland Health Center Heliport,MO,Farmington,63640,Hospital,1,,,
RW,FL021,St. Lucie County Air Rescue,Treasure Coast International Airport,FL,Fort Pierce,34946,Airport,1,,Y,
RW,IN005,St. Vincent StatFlight,StatFlight 3 Anderson,IN,Anderson,46016,Hospital,1,,,
RW,IN005,St. Vincent StatFlight,StatFlight 6 (Evansville),IN,Evansville,47714,Hospital,1,,,
RW,IN005,St. Vincent StatFlight,StatFlight 4 Greencastle,IN,Greencastle,46135,Airport,1,,,
RW,IN005,St. Vincent StatFlight,StatFlight 5 Rushville,IN,Rushville,46173,Hospital,1,,,
RW,IN005,St. Vincent StatFlight,StatFlight 2 Seymour,IN,Seymour,47274,Hospital,1,,,
RW,IN005,St. Vincent StatFlight,StatFlight 1 W. Lafayette,IN,West Lafayette,47906,Airport,1,,,
RW,MO011,Staff for Life (Columbia),MU1 - University of Missouri Hospital Helipad,MO,Columbia,65212,Hospital,1,,,Y
RW,MO011,Staff for Life (Columbia),MU2 - Lake Regional Health System,MO,Osage Beach,65065,Hospital,1,,,
RW,CA016,Stanford Life Flight,Stanford University Hospital,CA,Stanford,94305,Hospital,1,,,Y
RW,TX018,STAR Flight (Texas),Dell Children’s Medical Center,TX,Austin,78723,Hospital,1,,,Y
RW,TX018,STAR Flight (Texas),Dell Seton Medical Center,TX,Austin,78701,Hospital,1,,,
RW,TX018,STAR Flight (Texas),Travis County STAR Flight Hangar,TX,Austin,78724,Helipad,1,,,
RW,NE004,StarCare,Crete Area Medical Center,NE,Crete,68333,Hospital,1,,,
RW,PA010,STAT MedEvac,CHILDREN'S NATIONAL MEDICAL CENTER,DC,Washington,20010,Hospital,1,,,Y
RW,PA010,STAT MedEvac,STAT MedEvac 10 - Johns Hopkins Hospital,MD,Baltimore,21224,Helipad,1,,,
RW,PA010,STAT MedEvac,WCA Hospital Helipad,NY,Jamestown,14701,Helipad,2,,,
RW,PA010,STAT MedEvac,STAT MedEvac 14-Youngstown County,OH,North Lima,44452,Airport,1,,N,
RW,PA010,STAT MedEvac,STAT MedEvac 15 – Wintersville,OH,Wintersville,43953,Airport,1,,Y,
RW,PA010,STAT MedEvac,STAT MedEvac 11,PA,Altoona,16601,Hospital,1,,,
RW,PA010,STAT MedEvac,STAT MedEvac 03,PA,Cranberry TWP,16066,Hospital,1,,,
RW,PA010,STAT MedEvac,STAT MedEvac 09,PA,Clearfield,16830,Airport,1,,N,
RW,PA010,STAT MedEvac,STAT MedEvac 17,PA,Corry,16407,Helipad,1,,,
RW,PA010,STAT MedEvac,STAT MedEvac 02,PA,Greensburg,15601,Helipad,1,,,
RW,PA010,STAT MedEvac,STAT MedEvac 16,PA,Kittanning,16201,Hospital,1,,,
RW,PA010,STAT MedEvac,STAT MedEvac 05,PA,Lemont Furnace,15456,Airport,1,,Y,
RW,PA010,STAT MedEvac,STAT MedEvac 07,PA,Meadville,16335,Airport,1,,Y,
RW,PA010,STAT MedEvac,STAT MedEvac 08,PA,Mercer,16137,Airport,1,,Y,
RW,PA010,STAT MedEvac,STAT MedEvac 06,PA,Shippenville,16254,Airport,1,,Y,
RW,PA010,STAT MedEvac,STAT MedEvac 13,PA,Thomasville,17364,Airport,1,,N,
RW,PA010,STAT MedEvac,STAT MedEvac 04,PA,West Mifflin,15122,Airport,1,,Y,
RW,PA010,STAT MedEvac,STAT MedEvac 01,PA,Washington,15301,Hospital,3+,,,
RW,NY012,Suffolk County Police,MacArthur Airport,NY,Ronkonkoma,11779,Airport,2,,Y,
RW,NY012,Suffolk County Police,Francis S Gabreski Airport,NY,Westhampton Beach,11978,Airport,2,,Y,
RW,AZ011,Sunrise Air Ambulance,Safford Regional Airport,AZ,Safford,85546,Airport,1,2,N,
RW,AZ011,Sunrise Air Ambulance,Show Low Regional Airport,AZ,Show Low,85901,Airport,,1,N,
RW,AZ011,Sunrise Air Ambulance,Summit Healthcare Regional Medical Center Heliport,AZ,Show Low,85901,Hospital,1,,,
